drop1, 497
drop2, 68
drop3, 136
drop4, 458
drop5, 205
drop6, 496
drop7, 269
drop8, 306
drop9, 288
drop10, 153
drop11, 325
drop12, 467
drop13, 454
drop14, 80
drop15, 191
drop16, 59
drop17, 403
drop18, 444
drop19, 27
drop20, 168
drop21, 312
drop22, 336
drop23, 51
drop24, 268
drop25, 300
drop26, 426
drop27, 82
drop28, 409
drop29, 19
drop30, 89
drop31, 86
drop32, 3
drop33, 492
drop34, 69
drop35, 276
drop36, 261
drop37, 324
drop38, 49
drop39, 255
drop40, 406
drop41, 294
drop42, 209
drop43, 263
drop44, 484
drop45, 166
drop46, 428
drop47, 72
drop48, 111
drop49, 18
drop50, 407
drop51, 162
drop52, 64
drop53, 365
drop54, 145
drop55, 394
drop56, 383
drop57, 11
drop58, 427
drop59, 247
drop60, 13
drop61, 419
drop62, 315
drop63, 416
drop64, 369
drop65, 284
drop66, 171
drop67, 53
drop68, 78
drop69, 158
drop70, 63
drop71, 203
drop72, 258
drop73, 274
drop74, 286
drop75, 308
drop76, 349
drop77, 443
drop78, 450
drop79, 271
drop80, 498
