edge 132
25,5,25,5
25,5,35,10
25,5,10,20
25,5,20,20
35,10,25,5
35,10,35,10
35,10,35,20
35,10,60,30
10,20,25,5
10,20,10,20
10,20,20,20
10,20,10,25
20,20,25,5
20,20,10,20
20,20,20,20
20,20,35,20
20,20,20,30
35,20,35,10
35,20,20,20
35,20,35,20
35,20,35,30
10,25,10,20
10,25,10,25
10,25,20,30
10,25,5,35
20,30,20,20
20,30,10,25
20,30,20,30
20,30,35,30
20,30,20,35
35,30,35,20
35,30,20,30
35,30,35,30
35,30,40,35
35,30,30,40
60,30,35,10
60,30,60,30
60,30,90,40
60,30,90,45
5,35,10,25
5,35,5,35
5,35,20,35
5,35,0,45
20,35,20,30
20,35,5,35
20,35,20,35
20,35,30,40
20,35,15,45
40,35,35,30
40,35,40,35
40,35,55,35
55,35,60,30
55,35,40,35
55,35,55,35
55,35,50,45
55,35,30,50
55,35,90,60
30,40,35,30
30,40,20,35
30,40,30,40
30,40,50,45
30,40,30,50
90,40,60,30
90,40,90,40
90,40,90,45
0,45,5,35
0,45,0,45
0,45,15,45
0,45,0,60
15,45,20,35
15,45,0,45
15,45,15,45
15,45,30,50
15,45,5,65
50,45,55,35
50,45,30,40
50,45,50,45
50,45,45,55
90,45,60,30
90,45,90,40
90,45,90,45
90,45,90,60
30,50,55,35
30,50,30,40
30,50,15,45
30,50,30,50
30,50,45,55
30,50,45,65
45,55,50,45
45,55,30,50
45,55,45,55
45,55,90,60
45,55,45,65
90,60,55,35
90,60,90,45
90,60,45,55
90,60,90,60
90,60,85,80
0,60,0,45
0,60,0,60
0,60,5,65
5,65,15,45
5,65,0,60
5,65,5,65
5,65,20,70
45,65,30,50
45,65,45,55
45,65,45,65
45,65,20,70
45,65,45,75
20,70,5,65
20,70,45,65
20,70,20,70
20,70,15,80
45,75,45,65
45,75,45,75
45,75,85,80
45,75,40,100
15,80,20,70
15,80,15,80
15,80,40,100
85,80,90,60
85,80,45,75
85,80,85,80
85,80,85,95
40,100,45,75
40,100,15,80
40,100,40,100
40,100,85,95
85,95,85,80
85,95,40,100
85,95,85,95
