edge 88
40,13,58,10
40,13,30,50
40,13,80,60
95,0,58,10
95,0,95,45
58,10,40,13
58,10,95,0
58,10,80,25
80,25,58,10
80,25,80,45
80,45,80,25
80,45,95,45
80,45,80,60
95,45,95,0
95,45,80,45
95,45,100,60
30,50,40,13
30,50,30,60
30,50,80,60
30,60,30,50
30,60,80,60
30,60,10,70
30,60,30,90
80,60,40,13
80,60,80,45
80,60,30,50
80,60,30,60
80,60,100,60
80,60,80,70
100,60,95,45
100,60,80,60
100,60,100,70
10,70,30,60
10,70,10,90
80,70,80,60
80,70,100,70
80,70,80,90
100,70,100,60
100,70,80,70
100,70,100,100
10,90,10,70
10,90,30,90
10,90,5,130
30,90,30,60
30,90,10,90
30,90,80,90
30,90,30,130
80,90,80,70
80,90,30,90
80,90,100,100
80,90,75,110
100,100,100,70
100,100,80,90
100,100,105,125
75,110,80,90
75,110,100,115
75,110,30,130
75,110,90,150
100,115,75,110
100,115,105,125
100,115,90,150
105,125,100,100
105,125,100,115
105,125,130,140
5,130,10,90
5,130,30,130
5,130,5,150
30,130,30,90
30,130,75,110
30,130,5,130
30,130,30,150
130,140,105,125
130,140,110,155
130,140,140,160
5,150,5,130
5,150,30,150
30,150,30,130
30,150,5,150
30,150,90,150
90,150,75,110
90,150,100,115
90,150,30,150
90,150,110,155
110,155,130,140
110,155,90,150
110,155,140,160
140,160,130,140
140,160,110,155
